rank,callable,nativr_available,packages,source_packages,occurrences,package_reach_percent,download_weighted_reach_percent
66,gsub,true,8,glue|magrittr|tibble|dplyr|xfun|htmltools|knitr|readxl,8,8.2,9.7
67,requireNamespace,true,8,vctrs|ggplot2|dplyr|scales|isoband|loo|data.table|distributional,19,8.2,9.7
68,as.data.frame,true,9,ggplot2|tibble|jsonlite|rstan|purrr|knitr|data.table|zoo|bit64,22,9.3,9.6
69,close,true,8,rlang|jsonlite|curl|processx|ps|yaml|later|brio,17,8.2,9.2
70,is.na,true,8,cli|vctrs|dplyr|S7|matrixStats|data.table|zoo|bit64,25,8.2,9.0
71,tempdir,true,9,withr|rstan|ps|xfun|knitr|backports|checkmate|data.table|shiny,26,9.3,9.0
72,ncol,true,8,vctrs|RcppEigen|dplyr|isoband|checkmate|matrixStats|data.table|zoo,25,8.2,8.9
73,local,true,6,rlang|cli|withr|tibble|testthat|shiny,11,6.2,8.8
74,with,true,7,rlang|ggplot2|tibble|scales|posterior|diffobj|zoo,18,7.2,8.7
75,sprintf,true,9,rlang|curl|knitr|testthat|matrixStats|data.table|shiny|rstudioapi|diffobj,21,9.3,8.6
76,rownames,true,7,vctrs|ggplot2|dplyr|gtable|matrixStats|brio|bit64,18,7.2,8.1
77,all.equal,true,9,dplyr|jsonlite|curl|abind|matrixStats|numDeriv|loo|data.table|bit64,65,9.3,8.1
78,strsplit,true,6,cli|vctrs|tibble|digest|crayon|data.table,8,6.2,8.0
79,ifelse,true,7,vctrs|ggplot2|dplyr|stringi|htmlwidgets|data.table|zoo,11,7.2,8.0
80,dev.off,true,8,ggplot2|sass|xfun|knitr|testthat|data.table|shiny|ragg,18,8.2,7.8
81,min,true,7,ggplot2|magrittr|dplyr|labeling|htmlwidgets|data.table|zoo,17,7.2,7.8
82,quote,true,6,rlang|ggplot2|tibble|backports|data.table|shiny,110,6.2,7.7
83,as.matrix,true,8,viridisLite|rstan|StanHeaders|RColorBrewer|purrr|loo|data.table|zoo,16,8.2,7.7
84,unname,true,7,vctrs|dplyr|curl|purrr|xfun|zoo|bit64,10,7.2,7.7
85,as.POSIXct,true,6,vctrs|ggplot2|pillar|scales|data.table|zoo,26,6.2,7.7
86,data,true,8,ggplot2|RcppEigen|labeling|loo|data.table|shiny|zoo|bit64,16,8.2,7.7
87,rev,true,8,rlang|S7|testthat|abind|data.table|waldo|zoo|bit64,17,8.2,7.6
88,any,true,8,vctrs|dplyr|purrr|matrixStats|data.table|diffobj|zoo|bit64,13,8.2,7.6
89,log,true,8,RcppEigen|dplyr|StanHeaders|matrixStats|data.table|posterior|distributional|zoo,17,8.2,7.5
90,integer,true,7,vctrs|dplyr|purrr|tidyr|testthat|diffobj|bit64,33,7.2,7.4
91,tryCatch,true,6,rlang|cli|ps|data.table|shiny|httr,11,6.2,7.3
92,sqrt,true,7,ggplot2|dplyr|scales|testthat|matrixStats|data.table|bit64,17,7.2,7.3
93,subset,true,7,ggplot2|magrittr|jsonlite|data.table|posterior|diffobj|zoo,18,7.2,7.2
94,exp,true,7,ggplot2|rstan|StanHeaders|stringi|matrixStats|numDeriv|loo,31,7.2,7.2
95,attr,true,7,cli|rstan|xfun|yaml|systemfonts|data.table|posterior,17,7.2,7.2
96,dimnames,true,7,vctrs|gtable|rstan|abind|posterior|distributional|bit64,18,7.2,7.1
97,write.csv,true,7,withr|fs|dplyr|data.table|shiny|diffobj|bit64,15,7.2,7.0
98,I,true,7,ggplot2|pillar|jsonlite|data.table|shiny|zoo|bit64,14,7.2,7.0
99,array,true,7,vctrs|rstan|purrr|checkmate|abind|posterior|zoo,28,7.2,7.0
100,cumsum,true,6,vctrs|ggplot2|dplyr|data.table|zoo|bit64,16,6.2,6.8
101,rpois,true,6,vctrs|ggplot2|purrr|testthat|distributional|zoo,13,6.2,6.8
102,as.raw,true,8,xfun|digest|stringr|base64enc|checkmate|matrixStats|httpuv|brio,12,8.2,6.7
103,dim,true,8,gtable|rstan|abind|matrixStats|loo|data.table|posterior|bit64,40,8.2,6.6
104,rm,true,6,rlang|glue|openssl|data.table|sys|bit64,27,6.2,6.5
105,duplicated,true,6,vctrs|ggplot2|stringi|data.table|zoo|bit64,20,6.2,6.4
106,charToRaw,true,5,rlang|jsonlite|curl|base64enc|openssl,14,5.2,6.4
107,abs,true,5,vctrs|ggplot2|dplyr|numDeriv|zoo,10,5.2,6.3
108,do.call,true,5,rlang|ggplot2|stringi|data.table|zoo,9,5.2,6.2
109,typeof,true,4,rlang|vctrs|dplyr|data.table,19,4.1,6.2
110,substr,true,5,cli|ggplot2|digest|crayon|readxl,12,5.2,6.1
111,median,true,7,ggplot2|purrr|matrixStats|data.table|posterior|distributional|bit64,9,7.2,6.1
112,t,true,7,gtable|StanHeaders|purrr|matrixStats|posterior|zoo|bit64,22,7.2,6.1
113,tolower,true,5,ggplot2|glue|dplyr|data.table|readxl,10,5.2,6.0
114,nchar,true,5,cli|pillar|purrr|crayon|sys,16,5.2,6.0
115,on.exit,true,7,otel|tidyselect|knitr|testthat|shiny|diffobj|promises,12,7.2,5.9
116,inherits,true,5,rlang|S7|xfun|shiny|promises,6,5.2,5.9
117,sapply,true,7,dplyr|stringi|checkmate|loo|data.table|readxl|zoo,13,7.2,5.7
118,range,true,6,ggplot2|scales|shiny|posterior|zoo|bit64,19,6.2,5.6
119,all,true,5,vctrs|dplyr|testthat|checkmate|data.table,10,5.2,5.6
120,unlist,true,4,cli|tibble|purrr|xfun,8,4.1,5.6
121,png,true,5,ggplot2|sass|xfun|testthat|shiny,7,5.2,5.5
122,ordered,true,5,vctrs|dplyr|testthat|posterior|distributional,6,5.2,5.5
123,coef,true,5,ggplot2|dplyr|purrr|data.table|zoo,7,5.2,5.4
124,sort,true,5,withr|scales|StanHeaders|data.table|bit64,13,5.2,5.4
125,file.exists,true,5,withr|cpp11|knitr|shiny|rprojroot,8,5.2,5.4
126,read.csv,true,6,magrittr|curl|data.table|shiny|promises|bit64,11,6.2,5.3
127,system.time,true,6,sass|processx|memoise|matrixStats|data.table|bit64,95,6.2,5.3
128,unique,true,5,ggplot2|StanHeaders|stringi|data.table|bit64,22,5.2,5.1
129,dir.create,true,4,withr|cpp11|dplyr|rstudioapi,6,4.1,5.1
130,parent.frame,true,5,rlang|testthat|htmlwidgets|shiny|zoo,9,5.2,5.1
131,warning,true,4,rlang|purrr|evaluate|testthat,8,4.1,5.1
132,quantile,true,5,ggplot2|dplyr|posterior|distributional|bit64,60,5.2,5.0
133,tail,true,6,magrittr|data.table|shiny|posterior|diffobj|zoo,7,6.2,4.9
134,formals,true,3,rlang|ggplot2|memoise,4,3.1,4.8
135,list.files,true,4,cpp11|dplyr|xfun|tinytex,6,4.1,4.8
136,levels,true,4,ggplot2|S7|xfun|data.table,9,4.1,4.7
137,substring,true,4,cli|jsonlite|crayon|zoo,10,4.1,4.7
138,par,true,5,withr|sass|shiny|zoo|bit64,23,5.2,4.6
139,missing,true,3,rlang|R6|data.table,3,3.1,4.6
140,toupper,true,3,rlang|ggplot2|shiny,5,3.1,4.6
141,gl,true,4,ggplot2|RcppEigen|loo|zoo,7,4.1,4.6
142,serialize,true,5,jsonlite|curl|openssl|data.table|bit64,12,5.2,4.5
143,class,true,5,vctrs|checkmate|posterior|zoo|bit64,21,5.2,4.5
144,Encoding,true,3,rlang|utf8|xfun,12,3.1,4.5
145,replicate,true,3,rlang|dplyr|memoise,4,3.1,4.5
146,order,true,4,ggplot2|purrr|stringi|data.table,11,4.1,4.4
147,which,true,4,vctrs|purrr|matrixStats|zoo,6,4.1,4.3
148,conditionMessage,true,4,rlang|data.table|shiny|promises,5,4.1,4.2
149,rcauchy,true,3,ggplot2|pillar|purrr,4,3.1,4.2
150,cor,true,3,magrittr|tibble|purrr,4,3.1,4.2
151,basename,true,3,cli|StanHeaders|xfun,3,3.1,4.1
152,floor,true,4,pillar|dplyr|shiny|zoo,9,4.1,4.1
153,switch,true,3,rlang|processx|shiny,5,3.1,4.1
154,split,true,4,ggplot2|purrr|data.table|zoo,18,4.1,4.1
155,transform,true,3,ggplot2|magrittr|data.table,5,3.1,4.0
156,new.env,true,2,rlang|R6,2,2.1,3.9
157,dir,true,4,rstan|StanHeaders|testthat|data.table,8,4.1,3.9
158,eval,true,3,rlang|knitr|data.table,11,3.1,3.9
159,double,true,4,vctrs|matrixStats|distributional|bit64,8,4.1,3.9
160,within,true,3,ggplot2|dplyr|data.table,3,3.1,3.8
161,dirname,true,3,cli|StanHeaders|shiny,5,3.1,3.7
162,Sys.getenv,false,3,withr|xfun|pkgbuild,16,3.1,3.7
163,image,false,3,scales|viridisLite|RColorBrewer,6,3.1,3.7
164,substitute,true,3,rlang|htmlwidgets|data.table,8,3.1,3.7
165,expression,true,3,ggplot2|scales|zoo,4,3.1,3.7
166,browseURL,false,4,xfun|htmltools|knitr|httpuv,8,4.1,3.6
167,as.logical,true,3,rlang|openssl|zoo,4,3.1,3.6
168,gc,false,3,rlang|matrixStats|bit64,17,3.1,3.5
169,sin,true,5,testthat|numDeriv|data.table|ragg|zoo,10,5.2,3.5
170,rawToChar,true,4,curl|stringr|openssl|brio,8,4.1,3.5
171,environment,true,2,vctrs|withr,3,2.1,3.5
172,table,true,3,ggplot2|purrr|loo,17,3.1,3.5
173,raw,true,2,rlang|curl,4,2.1,3.4
174,lines,false,4,scales|matrixStats|posterior|zoo,20,4.1,3.4
175,Sys.setenv,false,4,xfun|memoise|openssl|zoo,7,4.1,3.3
176,system,false,3,withr|knitr|data.table,5,3.1,3.3
177,as.difftime,false,2,vctrs|scales,2,2.1,3.3
178,log10,true,2,ggplot2|pillar,6,2.1,3.2
179,setNames,true,3,ggplot2|loo|data.table,3,3.1,3.1
180,merge,true,3,ggplot2|data.table|zoo,48,3.1,3.0
181,ave,true,3,ggplot2|data.table|zoo,3,3.1,3.0
182,ISOdate,true,2,withr|scales,3,2.1,3.0
183,expand.grid,true,2,ggplot2|isoband,7,2.1,3.0
184,ls,false,3,callr|rstan|bit64,5,3.1,3.0
185,unclass,true,2,cli|xfun,2,2.1,3.0
186,hist,false,4,testthat|openssl|shiny|posterior,19,4.1,3.0
187,append,true,3,curl|purrr|data.table,3,3.1,2.9
188,showClass,false,2,Rcpp|rstan,4,2.1,2.9
189,packageVersion,false,2,ggplot2|bslib,3,2.1,2.9
190,setClass,true,2,rlang|data.table,3,2.1,2.9
191,diff,true,3,ggplot2|zoo|bit64,13,3.1,2.9
192,as.vector,true,3,ggplot2|zoo|bit64,3,3.1,2.9
193,cos,true,4,testthat|numDeriv|data.table|zoo,7,4.1,2.9
194,Sys.getpid,false,3,ps|xfun|promises,6,3.1,2.8
195,.libPaths,false,2,withr|callr,6,2.1,2.8
196,example,false,3,rstan|pkgload|data.table,4,3.1,2.8
197,rexp,true,3,scales|data.table|posterior,9,3.1,2.7
198,recordPlot,true,3,xfun|knitr|ragg,5,3.1,2.7
199,isTRUE,true,3,digest|htmltools|data.table,3,3.1,2.7
200,getwd,true,2,withr|xfun,9,2.1,2.7
201,rgb,true,3,stringr|crayon|posterior,4,3.1,2.6
202,suppressWarnings,true,3,bslib|data.table|zoo,21,3.1,2.5
203,gzcon,false,2,jsonlite|curl,6,2.1,2.5
204,vignette,false,2,Rcpp|data.table,5,2.1,2.4
205,args,false,2,S7|StanHeaders,3,2.1,2.4
206,pmin,true,2,dplyr|purrr,2,2.1,2.4
207,sub,true,2,isoband|StanHeaders,2,2.1,2.4
