rank,package,downloads,manual_status,namespace_status,example_blocks,exported_names,excluded_package_owned_calls,features_detected
84,ragg,816067,analyzed,analyzed,8,13,9,loops|sequences-repetition
85,xml2,803702,analyzed,analyzed,24,67,167,extraction|lists|names-attributes
86,httr,798835,analyzed,analyzed,45,91,261,comparisons|subsetting|extraction|conditionals|lists|sequences-repetition|dates-times|namespaces|ellipsis|replacement
87,rstudioapi,788202,analyzed,analyzed,29,130,20,comparisons|logical-operators|extraction|conditionals|loops|lists|string-helpers|apply-family|namespaces
88,commonmark,780891,analyzed,analyzed,2,7,7,
89,diffobj,769500,analyzed,analyzed,27,60,65,comparisons|logical-operators|subsetting|extraction|conditionals|lists|sequences-repetition|formulas|matrices-arrays|string-helpers|statistics|namespaces|replacement|object-systems
90,httpuv,765229,analyzed,analyzed,12,24,18,extraction|loops|lists|string-helpers|random-numbers
91,askpass,761229,analyzed,analyzed,1,2,1,
92,later,760762,analyzed,analyzed,2,12,12,formulas|statistics|namespaces
93,waldo,759508,analyzed,analyzed,1,2,9,subsetting|lists|names-attributes
94,promises,755392,analyzed,analyzed,9,30,47,comparisons|logical-operators|extraction|conditionals|return|loops|lists|sequences-repetition|pipes|random-numbers|dates-times|namespaces|ellipsis
95,sys,754129,analyzed,analyzed,2,11,8,extraction|conditionals|string-helpers|sorting-matching|namespaces
96,QuickJSR,730232,analyzed,analyzed,6,5,3,extraction
97,inline,727169,analyzed,analyzed,6,7,19,subsetting|extraction|conditionals|lists|sequences-repetition|matrices-arrays|random-numbers
98,brio,726003,analyzed,analyzed,8,9,17,names-attributes
99,zoo,722290,analyzed,analyzed,30,122,464,comparisons|logical-operators|subsetting|extraction|conditionals|lists|names-attributes|sequences-repetition|formulas|data-frames|matrices-arrays|string-helpers|sorting-matching|apply-family|statistics|random-numbers|dates-times|ellipsis|replacement
100,readxl,705873,analyzed,analyzed,5,13,68,extraction|names-attributes|sequences-repetition|formulas|string-helpers|apply-family
